# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
9168.2000 M117 179 3 805.1000 s16 sink4 3586 N s16->s17->s13->sink1
9168.3000 M113 158 2 990.6000 s17 sink5 3583 N s17->s13->sink1
9884.1000 M133 114 3 194.9000 s15 sink3 3596 N s15->s17->s14->sink7
9884.2000 M135 199 1 86.6000 s14 sink0 3598 N s14->sink7
9884.3000 M128 150 3 616.4000 s15 sink0 3589 N s15->s17->s14->sink7
9884.4000 M132 119 2 211.6000 s17 sink2 3596 N s17->s14->sink7
9884.5000 M127 171 2 661.9000 s17 sink2 3588 N s17->s14->sink7
9884.6000 M126 104 4 767.5000 s12 sink7 3587 N s12->s15->s17->s14->sink7
9884.7000 M123 150 1 909.8000 s14 sink6 3584 N s14->sink7
9884.8000 M130 162 4 556.1000 s12 sink5 3590 N s12->s13->s18->s14->sink7
10066.8000 M136 188 3 170.5000 s17 sink0 3597 N s17->s13->s14->sink3
10066.9000 M137 133 3 153.8000 s18 sink0 3597 N s18->s13->s14->sink3
10067.0000 M139 193 2 88.9000 s13 sink3 3598 N s13->s14->sink3
10757.5000 M134 137 3 1065.6000 s16 sink4 3582 N s16->s15->s19->sink7
10757.6000 M120 128 3 2099.5000 s16 sink0 3565 N s16->s15->s19->sink7
10757.7000 M138 183 3 801.7000 s16 sink5 3586 N s16->s15->s19->sink7
10757.8000 M131 133 1 1346.6000 s19 sink6 3577 N s19->sink7
10757.9000 M141 191 3 429.3000 s11 sink5 3592 N s11->s15->s19->sink7
10758.0000 M140 115 3 554.0000 s16 sink7 3590 N s16->s15->s19->sink7
10758.1000 M142 157 1 347.1000 s19 sink9 3594 N s19->sink7
11370.5000 M151 177 1 209.4000 s19 sink8 3596 N s19->sink2
11423.5000 M143 116 1 838.2000 s11 sink9 3586 N s11->sink6
11423.6000 M148 123 1 491.5000 s11 sink2 3591 N s11->sink6
11445.6000 M146 166 1 726.4000 s13 sink1 3587 N s13->sink5
11445.7000 M129 199 2 2118.1000 s10 sink4 3564 N s10->s13->sink5
11445.8000 M153 128 1 239.0000 s13 sink2 3596 N s13->sink5
11450.5000 M150 179 1 350.5000 s12 sink5 3594 N s12->sink8
11503.1000 M149 183 1 460.3000 s14 sink9 3592 N s14->sink2
11503.2000 M145 148 1 800.9000 s14 sink5 3586 N s14->sink2
11503.3000 M154 180 1 197.9000 s14 sink5 3596 N s14->sink2
11508.8000 M147 106 2 680.8000 s16 sink2 3588 N s16->s13->sink5
11508.9000 M152 145 2 308.9000 s16 sink4 3594 N s16->s13->sink5
11509.0000 M156 138 2 75.8000 s16 sink1 3598 N s16->s13->sink5
12147.6000 M159 177 1 235.0000 s17 sink8 3596 N s17->sink5
12147.7000 M162 150 1 73.2000 s17 sink3 3598 N s17->sink5
12220.3000 M158 185 1 362.5000 s14 sink2 3593 N s14->sink0
12227.7000 M160 102 3 262.2000 s19 sink6 3595 N s19->s16->s10->sink3
12227.8000 M155 176 1 868.5000 s10 sink6 3585 N s10->sink3
12227.9000 M161 165 1 220.2000 s10 sink7 3596 N s10->sink3
12345.0000 M144 160 2 1721.2000 s15 sink8 3571 N s15->s16->sink4
12345.1000 M165 149 1 75.2000 s16 sink7 3598 N s16->sink4
12345.2000 M157 178 2 547.7000 s15 sink3 3590 N s15->s16->sink4
13021.4000 M166 107 2 561.4000 s13 sink7 3590 N s13->s12->sink8
13021.5000 M163 175 2 888.8000 s13 sink0 3585 N s13->s12->sink8
13021.6000 M169 121 1 317.8000 s12 sink4 3594 N s12->sink8
13021.7000 M164 106 1 768.6000 s12 sink2 3587 N s12->sink8
13098.2000 M173 136 2 197.6000 s13 sink4 3596 N s13->s10->sink4
13098.3000 M170 159 2 333.6000 s13 sink8 3594 N s13->s10->sink4
13098.4000 M174 196 1 84.8000 s10 sink5 3598 N s10->sink4
13310.9000 M167 122 1 657.6000 s11 sink9 3589 N s11->sink3
13737.8000 M168 143 2 1069.3000 s14 sink3 3582 N s14->s16->sink0
13737.9000 M178 157 1 370.2000 s16 sink8 3593 N s16->sink0
13738.0000 M172 148 1 843.3000 s16 sink8 3585 N s16->sink0
13738.1000 M176 198 1 638.7000 s16 sink8 3589 N s16->sink0
13738.2000 M177 196 4 498.4000 s19 sink7 3591 N s19->s13->s14->s16->sink0
